,ProgramAdministrator,ProgramName,FuelType,Sector,"NetFuelSavingAcquired,MWh",Success
44,National Fuel Gas Distribution Corporation,Small Non-Residential Rebate (Existing Facilities),Gas,Commercial,35175.7120965,1
45,New York State Electric & Gas Corporation,Block Bidding Program,Electric,Commercial,6958.39,0
46,New York State Electric & Gas Corporation,C&I Custom Rebate Program,Electric,Commercial,8003.14,0
47,New York State Electric & Gas Corporation,C&I Custom Rebate Program,Gas,Commercial,833.0192373,0
48,New York State Electric & Gas Corporation,C&I Electric Program,Electric,Commercial,87267.23,0
49,New York State Electric & Gas Corporation,C&I Gas Program,Gas,Commercial,13605.0244908,0
50,New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,2953.32,0
51,New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,4579.0253238,0
52,New York State Electric & Gas Corporation,Energy Saver Program,Electric,Residential,4909.61,0
53,New York State Electric & Gas Corporation,Energy Saver Program,Gas,Residential,3764.513457,0
54,New York State Electric & Gas Corporation,Multifamily Program,Electric,Multi-Family,16531.16,1
55,New York State Electric & Gas Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,61883.46,0
56,New York State Electric & Gas Corporation,Residential HVAC Program,Electric,Residential,5447.66,0
57,New York State Electric & Gas Corporation,Residential HVAC Program,Gas,Residential,148138.6116339,0
58,New York State Electric & Gas Corporation,Small Business Direct Install Program,Electric,Commercial,136437.16,0
59,New York State Energy Research and Development Authority,Advanced Sub-Metering Program,Electric,Multi-Family,2413.83,0
60,New York State Energy Research and Development Authority,Agricultural Disaster Program,Gas,Commercial,1545.65118,0
61,New York State Energy Research and Development Authority,Agricultural Disaster Program,Electric,Commercial,523.592,0
62,New York State Energy Research and Development Authority,Agricultural Energy Efficiency,Electric,Commercial,26096.72,0
63,New York State Energy Research and Development Authority,Agricultural Energy Efficiency,Gas,Commercial,17927.4172077,0
64,New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Electric,Residential,566.307,0
65,New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Gas,Residential,912.91305,0
66,New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Electric,Residential,2186.05,0
67,New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Gas,Residential,70692.9914166,0
68,New York State Energy Research and Development Authority,New York Energy Star Homes,Electric,Residential,2826.65,0
69,New York State Energy Research and Development Authority,New York Energy Star Homes,Gas,Residential,11043.4461558,0
71,New York State Energy Research and Development Authority,CFL Expansion Program,Electric,Residential,992099.27,1
72,New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,260.737,0
73,New York State Energy Research and Development Authority,EmPower New York Program,Gas,Residential,213392.5432968,0
75,New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,60351.8,0
76,New York State Energy Research and Development Authority,Existing Facilities Program,Electric,Commercial,9.018,0
77,New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,714.7918686,0
78,New York State Energy Research and Development Authority,Existing Facilities Program,Electric,Commercial,682175.78,0
79,New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,140166.5068404,0
81,New York State Energy Research and Development Authority,FlexTech Expansion Program,Electric,Commercial,944975.26,0
82,New York State Energy Research and Development Authority,Flex Tech Program,Electric,Commercial,5201.66,0
83,New York State Energy Research and Development Authority,Flex Tech Program,Gas,Commercial,221790.0069576,0
85,New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,1134.91,0
86,New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,490.61969489999996,0
87,New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,5055.71,0
88,New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,136037.84804699998,0
89,New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Electric,Commercial,942591.44,1
90,New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Gas,Commercial,781076.3809179,1
91,New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Electric,Multi-Family,779.987,1
93,New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Electric,Multi-Family,95914.13,1
94,New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Gas,Multi-Family,327109.13681460003,1
96,New York State Energy Research and Development Authority,Multifamily Performance Program,Gas,Multi-Family,6340.628064,0
97,New York State Energy Research and Development Authority,Multifamily Performance Program,Electric,Multi-Family,37170.13,0
98,New York State Energy Research and Development Authority,Multifamily Performance Program,Gas,Multi-Family,165156.0992442,0
99,New York State Energy Research and Development Authority,New Construction Program,Electric,Commercial,12.447,1
100,New York State Energy Research and Development Authority,New Construction Program,Gas,Commercial,227830.4668662,1
101,New York State Energy Research and Development Authority,New Construction Program,Electric,Commercial,389590.39,1
102,New York State Energy Research and Development Authority,New Construction Program,Gas,Commercial,140963.2850415,1
103,New York State Energy Research and Development Authority,New York Energy Star Homes,Gas,Residential,148750.2633774,0
104,New York State Energy Research and Development Authority,New York Energy Star Homes,Electric,Residential,20719.16,0
105,Niagara Mohawk Power Corporation,Commercial High-Eff. Heating and Water Heating,Gas,Commercial,10255.1581926,1
106,Niagara Mohawk Power Corporation,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,157568.059755,1
107,Niagara Mohawk Power Corporation,Energy Initiative - Commercial & Industrial Electric Program,Electric,Commercial,406583.95,1
108,Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Electric,Commercial,43778.41,1
109,Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Gas,Commercial,17747.047276200003,1
110,Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Electric,Commercial,108660.32,1
111,Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Gas,Commercial,17392.9806171,1
112,Niagara Mohawk Power Corporation,Energy Wise Program,Electric,Multi-Family,33500.44,1
113,Niagara Mohawk Power Corporation,Energy Wise Program,Gas,Multi-Family,42798.87602519999,1
114,Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Electric,Residential,108.326,1
115,Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Gas,Residential,2349.5099523,1
116,Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Electric,Residential,181091.55,1
117,Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Gas,Residential,296659.3250031,1
118,Niagara Mohawk Power Corporation,Residential Energy Star Products and Recycling,Electric,Residential,57917.08,1
119,Niagara Mohawk Power Corporation,Residential Energy Star Products Program,Gas,Residential,2315.2998912,1
120,Niagara Mohawk Power Corporation,"Residential High Efficiency Heating, Water Heating & Controls Program",Gas,Residential,146904.7986567,1
121,Niagara Mohawk Power Corporation,Residential HVAC Program,Electric,Residential,1345.25,1
122,Niagara Mohawk Power Corporation,Residential HVAC Program,Gas,Residential,214424.00023109998,1
123,Niagara Mohawk Power Corporation,Small Business Direct Install Program,Electric,Commercial,609718.51,1
124,"Orange and Rockland Utilities, Inc.",Commercial Existing Buildings Program,Electric,Commercial,48462.92,1
125,"Orange and Rockland Utilities, Inc.",Residential Efficient Products Program,Electric,Residential,12349.26,0
126,"Orange and Rockland Utilities, Inc.",Residential HVAC,Electric,Residential,51.193,0
127,"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Electric,Residential,287.224,0
128,"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Gas,Residential,26721.419232,0
129,"Orange and Rockland Utilities, Inc.",Small Business Direct Install Program,Electric,Commercial,39683.54,1
130,Rochester Gas and Electric Corporation,Block Bidding Program,Electric,Commercial,11595.37,0
131,Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Electric,Commercial,2459.03,0
132,Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Gas,Commercial,145.36242693,0
133,Rochester Gas and Electric Corporation,C&I Electric Program,Electric,Commercial,56619.53,0
134,Rochester Gas and Electric Corporation,C&I Gas Program,Gas,Commercial,18923.3950878,0
135,Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,871.54,0
136,Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,6992.445051,0
138,Rochester Gas and Electric Corporation,Energy Saver Program,Gas,Residential,2969.355933,1
139,Rochester Gas and Electric Corporation,Multifamily Program,Electric,Multi-Family,17841.12,1
140,Rochester Gas and Electric Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,41974.93,1
141,Rochester Gas and Electric Corporation,Residential HVAC Program,Electric,Residential,13782.24,1
142,Rochester Gas and Electric Corporation,Residential HVAC Program,Gas,Residential,246025.5009444,1
143,Rochester Gas and Electric Corporation,Small Business Direct Install Program,Electric,Commercial,63984.18,0
144,"St. Lawrence Gas Company, Inc.",Residential Gas HVAC Program,Gas,Residential,6886.8255537,0
145,"St. Lawrence Gas Company, Inc.",Small Commercial HVAC Program,Gas,Commercial,1407.1081989000002,0
146,The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial Energy Efficiency Program,Gas,Commercial,21946.678831499998,1
147,The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,167785.2858975,1
148,The Brooklyn Union Gas Company d/b/a National Grid NY,Enhanced Home Sealing Incentives Program,Gas,Residential,1170.9172245,0
149,The Brooklyn Union Gas Company d/b/a National Grid NY,Large Industrial Energy Efficiency Program,Gas,Commercial,46105.4177853,1
150,The Brooklyn Union Gas Company d/b/a National Grid NY,Multifamily Energy Efficiency Program,Gas,Multi-Family,70243.9114635,1
151,The Brooklyn Union Gas Company d/b/a National Grid NY,Residential Energy Star Products Program,Gas,Residential,466.31246910000004,0
152,The Brooklyn Union Gas Company d/b/a National Grid NY,"Residential High Efficiency Heating, Water Heating & Controls Program",Gas,Residential,22512.028445699998,0
153,The Brooklyn Union Gas Company d/b/a National Grid NY,Residential HVAC Program,Gas,Residential,31544.715470099996,0
155,Central Hudson Gas & Electric Corporation,Home Energy Reporting,Electric,Residential,74836.28,1
156,Central Hudson Gas & Electric Corporation,Home Energy Reporting,Gas,Residential,28442.666233199998,1
157,Central Hudson Gas & Electric Corporation,Mid-Size Commercial Business Program,Electric,Commercial,35711.02,0
158,Central Hudson Gas & Electric Corporation,Residential Appliance Recycling Program,Electric,Residential,19562.37,1
159,Central Hudson Gas & Electric Corporation,Residential HVAC Program,Electric,Residential,125.68,1
160,Central Hudson Gas & Electric Corporation,Residential HVAC Program,Electric,Residential,8083.9,1
161,Central Hudson Gas & Electric Corporation,Residential HVAC Program,Gas,Residential,17984.8940961,1
162,Central Hudson Gas & Electric Corporation,Small and Mid-Size Commercial Buildings,Electric,Commercial,16.28,0
163,Central Hudson Gas & Electric Corporation,Small and Mid-Size Commercial Buildings,Gas,Commercial,3438.3734382000002,0
164,Central Hudson Gas & Electric Corporation,Small Business Direct Install Program,Electric,Commercial,90577.44,0
165,"Consolidated Edison Company of New York, Inc.",Appliance Bounty Program,Electric,Residential,17402.2,0
167,"Consolidated Edison Company of New York, Inc.",C&I Custom Efficiency Program,Electric,Commercial,241090.03,1
168,"Consolidated Edison Company of New York, Inc.",C&I Custom Gas Efficiency Program,Gas,Commercial,55170.1549449,1
170,"Consolidated Edison Company of New York, Inc.",C&I Equipment Rebate Program,Electric,Commercial,231290.66,1
171,"Consolidated Edison Company of New York, Inc.",C&I Gas Efficient Equipment Rebate Program,Gas,Commercial,101233.42047210001,1
173,"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Electric,Multi-Family,64221.18,1
174,"Consolidated Edison Company of New York, Inc.",Multifamily Energy Efficiency Program,Gas,Multi-Family,205207.7136438,1
175,"Consolidated Edison Company of New York, Inc.",Multifamily Low-Income Program,Gas,Multi-Family,36510.1125591,1
176,"Consolidated Edison Company of New York, Inc.",Residential Direct Installation Program,Gas,Residential,6.3713418,0
177,"Consolidated Edison Company of New York, Inc.",Residential Direct Installation Program,Electric,Residential,2663.1,0
178,"Consolidated Edison Company of New York, Inc.",Residential Electric Program,Electric,Residential,39450.54,0
179,"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Electric,Residential,669.39,0
180,"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Electric,Residential,6443.58,0
181,"Consolidated Edison Company of New York, Inc.",Residential HVAC Program,Gas,Residential,56248.016583,0
182,"Consolidated Edison Company of New York, Inc.",Residential Room Air Conditioning Program,Electric,Residential,3213.46,0
184,"Consolidated Edison Company of New York, Inc.",Small Business Direct Install Program,Electric,Commercial,506043.82,1
185,Corning Natural Gas Corporation,Residential HVAC Program,Gas,Residential,7387.298261999999,0
186,Corning Natural Gas Corporation,Small Commercial HVAC Program,Gas,Commercial,409.799781,0
187,KeySpan Gas East Corp. d/b/a National Grid,Commercial Energy Efficiency Program,Gas,Commercial,25570.436628900003,0
188,KeySpan Gas East Corp. d/b/a National Grid,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,100563.48003630001,1
189,KeySpan Gas East Corp. d/b/a National Grid,Enhanced Home Sealing Incentives Program,Gas,Residential,1025.188167,1
190,KeySpan Gas East Corp. d/b/a National Grid,Large Industrial Energy Efficiency Program,Gas,Commercial,19960.851165,0
191,KeySpan Gas East Corp. d/b/a National Grid,Multifamily Energy Efficiency Program,Gas,Multi-Family,5136.9778512,1
192,KeySpan Gas East Corp. d/b/a National Grid,Residential Energy Star Products Program,Gas,Residential,699.3763866,1
193,KeySpan Gas East Corp. d/b/a National Grid,"Residential High Efficiency Heating, Water Heating & Controls Program",Gas,Residential,52427.6703603,1
194,KeySpan Gas East Corp. d/b/a National Grid,Residential HVAC Program,Gas,Residential,61804.565169,1
195,National Fuel Gas Distribution Corporation,Low-Income Usage Reduction Program (EmPower),Gas,Residential,42188.135729400004,1
196,National Fuel Gas Distribution Corporation,Residential Rebate Program,Electric,Residential,6924.0,1
197,National Fuel Gas Distribution Corporation,Residential Rebate Program,Gas,Residential,302198.0578638,1
198,National Fuel Gas Distribution Corporation,Small Non-Residential Rebate (Existing Facilities),Gas,Commercial,35175.7120965,1
199,New York State Electric & Gas Corporation,Block Bidding Program,Electric,Commercial,6958.39,0
200,New York State Electric & Gas Corporation,C&I Custom Rebate Program,Electric,Commercial,8003.14,0
201,New York State Electric & Gas Corporation,C&I Custom Rebate Program,Gas,Commercial,833.0192373,0
202,New York State Electric & Gas Corporation,C&I Electric Program,Electric,Commercial,87267.23,0
203,New York State Electric & Gas Corporation,C&I Gas Program,Gas,Commercial,13605.0244908,0
204,New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,2953.32,0
205,New York State Electric & Gas Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,4579.0253238,0
206,New York State Electric & Gas Corporation,Energy Saver Program,Electric,Residential,4909.61,0
207,New York State Electric & Gas Corporation,Energy Saver Program,Gas,Residential,3764.513457,0
208,New York State Electric & Gas Corporation,Multifamily Program,Electric,Multi-Family,16531.16,1
209,New York State Electric & Gas Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,61883.46,0
210,New York State Electric & Gas Corporation,Residential HVAC Program,Electric,Residential,5447.66,0
211,New York State Electric & Gas Corporation,Residential HVAC Program,Gas,Residential,148138.6116339,0
212,New York State Electric & Gas Corporation,Small Business Direct Install Program,Electric,Commercial,136437.16,0
213,New York State Energy Research and Development Authority,Advanced Sub-Metering Program,Electric,Multi-Family,2413.83,0
214,New York State Energy Research and Development Authority,Agricultural Disaster Program,Gas,Commercial,1545.65118,0
215,New York State Energy Research and Development Authority,Agricultural Disaster Program,Electric,Commercial,1550.95,0
216,New York State Energy Research and Development Authority,Agricultural Energy Efficiency,Electric,Commercial,26053.52,0
217,New York State Energy Research and Development Authority,Agricultural Energy Efficiency,Gas,Commercial,17797.118285700002,0
218,New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Electric,Residential,566.31,0
219,New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Gas,Residential,912.91305,0
220,New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Electric,Residential,3012.45,0
221,New York State Energy Research and Development Authority,Assisted Home Performance with Energy Star,Gas,Residential,70850.9854536,0
222,New York State Energy Research and Development Authority,New York Energy Star Homes,Electric,Residential,2826.65,0
223,New York State Energy Research and Development Authority,New York Energy Star Homes,Gas,Residential,11043.4461558,0
225,New York State Energy Research and Development Authority,CFL Expansion Program,Electric,Residential,992099.27,1
226,New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,3.43,0
227,New York State Energy Research and Development Authority,EmPower New York Program,Gas,Residential,213392.5432968,0
229,New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,60351.8,0
230,New York State Energy Research and Development Authority,Existing Facilities Program,Electric,Commercial,9.02,0
231,New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,714.7918686,0
232,New York State Energy Research and Development Authority,Existing Facilities Program,Electric,Commercial,680260.5,0
233,New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,148585.3675419,0
235,New York State Energy Research and Development Authority,FlexTech Expansion Program,Electric,Commercial,934072.36,0
236,New York State Energy Research and Development Authority,Flex Tech Program,Electric,Commercial,5192.98,0
237,New York State Energy Research and Development Authority,Flex Tech Program,Gas,Commercial,221536.4662392,0
239,New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,1134.9,0
240,New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,1134.91,0
241,New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,490.61969489999996,0
242,New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,5055.71,0
243,New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,136037.84804699998,0
244,New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Electric,Commercial,870258.61,1
245,New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Gas,Commercial,864024.6805245,1
246,New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Electric,Multi-Family,779.99,1
248,New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Electric,Multi-Family,70296.32,1
249,New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Gas,Multi-Family,269579.5632207,1
251,New York State Energy Research and Development Authority,Multifamily Performance Program,Gas,Multi-Family,4668.9509226,0
252,New York State Energy Research and Development Authority,Multifamily Performance Program,Electric,Multi-Family,33992.6,0
253,New York State Energy Research and Development Authority,Multifamily Performance Program,Gas,Multi-Family,117393.1976976,0
254,New York State Energy Research and Development Authority,New Construction Program,Electric,Commercial,12.45,1
255,New York State Energy Research and Development Authority,New Construction Program,Gas,Commercial,224821.72232519998,1
256,New York State Energy Research and Development Authority,New Construction Program,Electric,Commercial,377319.79,1
257,New York State Energy Research and Development Authority,New Construction Program,Gas,Commercial,140325.5061075,1
258,New York State Energy Research and Development Authority,New York Energy Star Homes,Gas,Residential,148530.5487984,0
259,New York State Energy Research and Development Authority,New York Energy Star Homes,Electric,Residential,22395.87,0
260,Niagara Mohawk Power Corporation,Commercial High-Eff. Heating and Water Heating,Gas,Commercial,10255.1581926,1
261,Niagara Mohawk Power Corporation,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,157568.059755,1
262,Niagara Mohawk Power Corporation,Energy Initiative - Commercial & Industrial Electric Program,Electric,Commercial,406583.95,1
263,Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Electric,Commercial,43778.41,1
264,Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Gas,Commercial,17747.047276200003,1
265,Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Electric,Commercial,108660.32,1
266,Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Gas,Commercial,17392.9806171,1
267,Niagara Mohawk Power Corporation,Energy Wise Program,Electric,Multi-Family,33500.44,1
268,Niagara Mohawk Power Corporation,Energy Wise Program,Gas,Multi-Family,42798.87602519999,1
269,Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Electric,Residential,108.33,1
270,Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Gas,Residential,2349.5099523,1
271,Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Electric,Residential,181091.55,1
272,Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Gas,Residential,296659.3250031,1
273,Niagara Mohawk Power Corporation,Residential Energy Star Products and Recycling,Electric,Residential,57917.08,1
274,Niagara Mohawk Power Corporation,Residential Energy Star Products Program,Gas,Residential,2315.2998912,1
275,Niagara Mohawk Power Corporation,"Residential High Efficiency Heating, Water Heating & Controls Program",Gas,Residential,146904.7986567,1
276,Niagara Mohawk Power Corporation,Residential HVAC Program,Electric,Residential,1345.25,1
277,Niagara Mohawk Power Corporation,Residential HVAC Program,Gas,Residential,214424.00023109998,1
278,Niagara Mohawk Power Corporation,Small Business Direct Install Program,Electric,Commercial,609718.51,1
279,"Orange and Rockland Utilities, Inc.",Commercial Existing Buildings Program,Electric,Commercial,48462.92,1
280,"Orange and Rockland Utilities, Inc.",Residential Efficient Products Program,Electric,Residential,12349.26,0
281,"Orange and Rockland Utilities, Inc.",Residential HVAC,Electric,Residential,51.19,0
282,"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Electric,Residential,287.22,0
283,"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Gas,Residential,26721.419232,0
284,"Orange and Rockland Utilities, Inc.",Small Business Direct Install Program,Electric,Commercial,39683.54,1
285,Rochester Gas and Electric Corporation,Block Bidding Program,Electric,Commercial,11595.37,0
286,Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Electric,Commercial,2459.03,0
287,Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Gas,Commercial,145.36272,0
288,Rochester Gas and Electric Corporation,C&I Electric Program,Electric,Commercial,56619.53,0
289,Rochester Gas and Electric Corporation,C&I Gas Program,Gas,Commercial,18923.3950878,0
290,Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,871.54,0
291,Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,6992.445051,0
293,Rochester Gas and Electric Corporation,Energy Saver Program,Gas,Residential,2969.355933,1
294,Rochester Gas and Electric Corporation,Multifamily Program,Electric,Multi-Family,17841.12,1
295,Rochester Gas and Electric Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,41974.93,1
296,Rochester Gas and Electric Corporation,Residential HVAC Program,Electric,Residential,13782.24,1
297,Rochester Gas and Electric Corporation,Residential HVAC Program,Gas,Residential,246025.5009444,1
298,Rochester Gas and Electric Corporation,Small Business Direct Install Program,Electric,Commercial,63984.18,0
299,"St. Lawrence Gas Company, Inc.",Residential Gas HVAC Program,Gas,Residential,6886.8255537,0
300,"St. Lawrence Gas Company, Inc.",Small Commercial HVAC Program,Gas,Commercial,1407.1081989000002,0
301,The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial Energy Efficiency Program,Gas,Commercial,21946.6759008,1
302,The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,167785.2858975,1
303,The Brooklyn Union Gas Company d/b/a National Grid NY,Enhanced Home Sealing Incentives Program,Gas,Residential,1170.9142938,0
304,The Brooklyn Union Gas Company d/b/a National Grid NY,Large Industrial Energy Efficiency Program,Gas,Commercial,46105.4177853,1
305,The Brooklyn Union Gas Company d/b/a National Grid NY,Multifamily Energy Efficiency Program,Gas,Multi-Family,70243.9114635,1
